City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,turan,16.0678,108.2208,295.14,94,20,0.0,VN,1704820923
169,makokou,0.5738,12.8642,300.06,66,80,1.45,GA,1704820925
170,limassol,34.675,33.0333,290.19,63,40,6.69,CY,1704820776
171,hami,42.8,93.45,267.98,63,20,0.78,CN,1704820928
172,hugo,45.16,-92.9933,272.4,91,100,6.17,US,1704820930
173,kavaratti,10.5669,72.642,300.98,77,100,3.88,IN,1704820932
174,badger,64.8,-147.5333,260.29,78,75,0.0,US,1704820934
175,puquio,-14.7,-74.1333,291.93,58,78,2.97,PE,1704820939
176,port mathurin,-19.6833,63.4167,301.51,72,42,4.37,MU,1704820941
177,tura,25.5198,90.2201,287.12,57,0,1.04,IN,1704820942
178,thompson,55.7435,-97.8558,243.24,69,40,3.09,CA,1704820797
179,el calafate,-50.3408,-72.2768,283.59,43,31,9.47,AR,1704820945
180,slave lake,55.2834,-114.769,254.14,78,100,3.6,CA,1704820951
181,porbandar,21.6422,69.6093,294.74,38,6,6.66,IN,1704820953
182,calliope,-24.0,151.2,299.09,89,75,2.57,AU,1704820954
183,salalah,17.0151,54.0924,300.2,34,0,7.2,OM,1704820956
184,kerikeri,-35.2268,173.9474,287.09,96,15,1.42,NZ,1704820932
185,richards bay,-28.783,32.0377,297.21,82,100,2.16,ZA,1704820959
186,nuuk,64.1835,-51.7216,282.49,34,40,8.23,GL,1704820946
187,arraial do cabo,-22.9661,-42.0278,302.07,79,40,4.12,BR,1704820963
188,nova sintra,14.8667,-24.7167,294.25,68,100,6.03,CV,1704820965
189,bilibino,68.0546,166.4372,242.97,98,100,1.24,RU,1704820966
190,fort bragg,35.139,-79.006,290.27,90,100,7.72,US,1704820968
191,suoyarvi,62.0833,32.35,264.98,95,97,2.89,RU,1704820969
192,muynoq,43.7683,59.0214,277.83,87,48,2.93,UZ,1704820970
193,awjilah,29.1081,21.2869,286.12,40,0,3.94,LY,1704820972
194,castillos,-34.1667,-53.8333,303.46,37,0,2.09,UY,1704820975
